,text,centroids_id,dist_score,avg_dist_score
168,"มี่กี่สาขา
",0,0.38387355888737784,0.38387355888737784
129,"ร้านมีกี่สาขา
",0,0.38387355888737784,0.38387355888737784
40,"มีไรกินมั่ง
",1,0.5562315324452379,0.5777385408679506
1,"กินไรดี
",1,0.517267486049754,0.5777385408679506
77,"มีไรให้ทานบ้าง
",1,0.6597166041088601,0.5777385408679506
60,"มีอาหารแบบเซ็ตไหมคะ
",2,0.8627601125830802,0.6357331104383905
132,"อาหารอร่อยดี 
",2,0.44784323384341207,0.6357331104383905
221,"อร่อยดีค่ะ 
",2,0.5965959848886792,0.6357331104383905
205,"ไม่อยากซื้อร้านนี้อีกแล้ว
",3,0.7790343080961226,0.77611134878486
190,"ไม่อยากกินร้านนี้แล้ว 
",3,0.685171430305645,0.77611134878486
36,"หาร้านไม่เจอค่ะ
",3,0.8976284566772009,0.77611134878486
194,"ไม่เคยกินร้านไหนแย่เท่าร้านนี้
",3,0.672685520873975,0.77611134878486
124,"ร้านนี้มีคนละครึ่งไหมคะ
",3,0.8485226879304246,0.77611134878486
105,"กินข้าวร้านนี้แล้วท้องเสีย แย่
",3,0.8113888720405912,0.77611134878486
192,"ไม่เคยกอนร้านไหนแย่เท่าร้านนี้
",3,0.7383481655700616,0.77611134878486
43,"สวัสดี
",4,0.11351524180872362,0.19459755738638324
106,"สวัสดี
",4,0.11351524180872362,0.19459755738638324
0,"สวัสดีค่ะ 
",4,0.11351524180872362,0.19459755738638324
75,"สวัสดีค่ะ
",4,0.11351524180872362,0.19459755738638324
5,"สวัสดีค่า
",4,0.6810914508523414,0.19459755738638324
6,"สวัสดีครับ
",4,0.11351524180872362,0.19459755738638324
3,"สวัสดีค่ะ
",4,0.11351524180872362,0.19459755738638324
37,"อาหารใกล้ถึงยังคะ รอนานแล้ว 
",5,0.6628773688785676,0.5541541244047161
63,"รออาหารนานมากค่ะ 
",5,0.419561771827289,0.5541541244047161
55,"รออาหารนานมากเลย เร็วๆหน่อยได้ป่ะ 
",5,0.6537746486819461,0.5541541244047161
203,"อาหารรอนานมาก ไม่อยากรอแล้ว 
",5,0.48040270823106135,0.5541541244047161
228,"แพงก็แพง จะขายใครคะไม่มีเงินซื้อ 
",6,0.9076795926748294,0.8471015614436261
7,"hello
",6,1.0102777391571316,0.8471015614436261
232,"ทำไมโต๊ะเต็มไวจัง
",6,0.8402563111048404,0.8471015614436261
176,"ทำไมเมนูมีน้อยจังเบื่อแล้วว
",6,0.8604306348788454,0.8471015614436261
220,"หงุดหงิดอะทำไมส่งช้า
",6,0.9365428486899109,0.8471015614436261
200,"อาหารแพงจัง 
",6,0.7436424851000816,0.8471015614436261
64,"ทำไมข้าวเเข็งจัง
",6,0.842584078086648,0.8471015614436261
151,"ทำไมอาหารแพงจัง 
",6,0.6353988018567215,0.8471015614436261
61,"เป็นโรคเบาหวานแนะนำอาหารหน่อยค่ะ
",7,0.6855785550370477,0.5918319259682869
48,"แนะนำอาหารหน่อย 
",7,0.4295968387606048,0.5918319259682869
28,"แนะนำอาหารคลีนหน่อย
",7,0.6942670344513406,0.5918319259682869
59,"มีอะไรแนะนำบ้างคะ
",7,0.5578852756241548,0.5918319259682869
81,"อยากจะจองโต๊ะวันพรุ่งนี้ึค่ะ
",8,0.8790542636737071,0.7055169457344135
53,"ทักค่ะ ตอนนี้จองโต๊ะได้มั้ย 
",8,0.6326290611592027,0.7055169457344135
231,"จองโต๊ะได้มั้ยคะ 
",8,0.4294759890860137,0.7055169457344135
114,"ขอจองโต๊ะได้มั้ยคะ 
",8,0.4294759890860137,0.7055169457344135
97,"โหลๆจองโต๊ะหน่อยจ้า
",8,0.8058995156749253,0.7055169457344135
38,"มีส่วนลดมั้ยคะ  
",8,0.989582501340764,0.7055169457344135
131,"จองผ่านเฟสบุ๊คได้ไหมคะ
",8,0.9447693592944078,0.7055169457344135
86,"โต๊ะว่างมั้ย 
",8,0.8092898432086727,0.7055169457344135
46,"จองโต๊ะได้มั้ยครับ 
",8,0.4294759890860137,0.7055169457344135
148,"กินไม่ได้เลยนะ
",9,0.374411945738766,0.374411945738766
138,"ข้าวกินไม่ได้เลย 
",9,0.37441194573876596,0.374411945738766
207,"ข้าวนุ่มมาก อร่อยค่ะ 
",10,0.6401531757663699,0.7633641368767741
184,"ปลาทอดกรอบนอกนุ่มใน
",10,0.832901888763872,0.7633641368767741
139,"เจอข้าวบูดบ่อยมาก 
",10,0.8451111095336563,0.7633641368767741
89,"ราดหน้าหมูนุ่มมาก
",10,0.735290373443198,0.7633641368767741
91,"พรุ่งนี้ร้านเปิดไหมคะ
",11,0.7057578930084927,0.6971752492976192
95,"ร้านเปิดกี่
",11,0.5972965246400774,0.6971752492976192
80,"ตอนนี้ร้านเปิดป่าวคะ
",11,0.7768092114122434,0.6971752492976192
126,"ร้านเปิดตีเท่าไหร่
",11,0.8000649855243859,0.6971752492976192
18,"ร้านเปิดวันไหนบ้าง 
",11,0.7351325236879149,0.6971752492976192
214,"ร้านเปิดกี่โมงง 
",11,0.7915425596952843,0.6971752492976192
160,"ร้านเปิดยัง
",11,0.6797823143280216,0.6971752492976192
211,"ร้านเปิดไหม
",11,0.44075677409623415,0.6971752492976192
135,"ร้านเปิดตอนไหน 
",11,0.7474344572859186,0.6971752492976192
93,"จะสั่งออนไลน์ต้องทำยังไงคะ 
",12,0.47100792841647865,0.6765990909798782
30,"สั่งออนไลน์มีโค้ดส่วนลดไหม
",12,0.9125055500849347,0.6765990909798782
29,"จะสั่งอาหารต้องทำยังไงคะ
",12,0.616428500153245,0.6765990909798782
27,"ขอจองโต๊ะล่วงหน้าต้องทำยังไงคะ
",12,0.7064543852648548,0.6765990909798782
115,"มีบริการอะไรบ้าง 
",13,0.4705196343892449,0.6298272532662643
41,"มีบริการส่งไหมคะ
",13,0.610749490950475,0.6298272532662643
191,"ไม่อยากใช้บริการแล้ว
",13,0.7425931921582666,0.6298272532662643
101,"ที่ร้านบริการแย่มาก 
",13,0.6954466955670706,0.6298272532662643
122,"แต่ชาเย็นหวานเกิน 
",14,0.7923678021172594,0.7105322700957927
227,"รสชาติไม่ค่อยเท่าไหร่แต่ราคาถูก
",14,0.6690277862240567,0.7105322700957927
117,"ราคาโอเคแต่รสชาติควรปรับปรุง
",14,0.6702012219460618,0.7105322700957927
4,"ทักค่ะ
",15,0.2784594848524097,0.4190554982822289
79,"ทักค่า
",15,0.5773607253368057,0.4190554982822289
145,"ทักกก
",15,0.5419422980872904,0.4190554982822289
39,"ทักค่ะ 
",15,0.2784594848524097,0.4190554982822289
166,"วันนี้เปิดร้านไหม
",16,0.8403294527706126,0.7537439440651702
76,"หิวจังงงง
",16,0.7896247261032905,0.7537439440651702
69,"ที่จอดรถเต็มตลอดเลยขยายที่ได้ไหม แงงงงง
",16,0.7773044373450965,0.7537439440651702
85,"วันนี้มีอะไรอร่อยบ้างงง
",16,0.6077171600416814,0.7537439440651702
223,"จะมาสั่งอีกรอบนะคะ อร่อยมากเลยค่ะ 
",17,0.5543181807289874,0.5454100376225898
26,"ต้มยำกุ้งอร่อยมาก ขอสั่งอีกรอบค่ะ 
",17,0.5041120588240248,0.5454100376225898
224,"ไม่สั่งอีกรอบหรอกค่ะ
",17,0.577799873314757,0.5454100376225898
198,"สั่งอาหารหน่อยค่ะ 
",18,0.3767226758467359,0.5831129738222901
111,"สั่งอาหารหน่อยค่ะ
",18,0.3767226758467359,0.5831129738222901
112,"สั่งอาหารมาน่าทานมาก  
",18,0.8817167340572051,0.5831129738222901
45,"สั่งอาหารหน่อยคะ 
",18,0.3767226758467359,0.5831129738222901
229,"ขอเลื่อนสั่งอาหารเป็นพรุ่งนี้ได้ไหมคะ
",18,0.8350303492764964,0.5831129738222901
21,"สั่งอาหารได้มั้ย 
",18,0.6517627320598317,0.5831129738222901
33,"เลือกระดับความเผ็ดของอาหารได้ไหม
",19,0.8164901947596145,0.7693465707607409
9,"ผัดเผ็ดปลาดุกครับ
",19,0.8059908731246039,0.7693465707607409
49,"แกงส้มเผ็ดจัง
",19,0.6484701398141575,0.7693465707607409
50,"ทำไมแกงส้มได้เนื้อปลาน้อยจังคะ
",19,0.8064350753445876,0.7693465707607409
116,"ทำอะไรได้บ้าง 
",20,0.6774611367504934,0.7239652250038632
163,"แม่ผมทำอร่อยกว่าร้านคุณอีก
",20,0.7631185953669936,0.7239652250038632
182,"เลิกทำร้านอาหารเถอะ
",20,0.7313159428941026,0.7239652250038632
98,"สั่งข้าวหน่อย 
",21,0.5424857073024772,0.6401832576489244
35,"ขอสั่งน้ำหน่อยค่า
",21,0.7780676061870111,0.6401832576489244
213,"สั่งข้าวได้ไหมม
",21,0.5999964594572846,0.6401832576489244
58,"มีอะไรอร่อยบ้างคะ
",22,0.574726660839265,0.8110572568867693
74,"ต้มยำอร่อยเวอร์
",22,0.8715593101328653,0.8110572568867693
121,"ข้าวต้มอร่อยมากค่ะ 
",22,0.8284237333528969,0.8110572568867693
195,"omg โคตรอร่อยย 
",22,0.9019942261879198,0.8110572568867693
225,"คิดว่าอร่อยมากมั้ง
",22,0.8948515876813111,0.8110572568867693
140,"ขนมอร่อยได้มาตรฐาน
",22,0.8715593101328654,0.8110572568867693
